// poisson vie infinie, naissance a chaque tour
// requin 3 vies, naissances tous les 3 tours
Poissons	Requins
8.469403795	8.964939408
8.44828025	8.54813042
8.705791751	8.316754834
8.675648331	8.299924185
8.896103963	8.560800674
9.035641751	7.992458267
9.273610141	8.238986935
9.393441539	8.482756479
9.722707041	8.349538175
9.885860019	8.084420204
10.1807216	8.212167309
10.39541751	8.392456796
10.67222509	8.611066139
10.7708445	8.124141462
11.10539962	8.152896259
11.10339783	8.28979759
11.20695716	8.341595754
11.15672338	7.972988703
11.16909379	8.01544403
11.11289265	8.400390455
11.14174558	8.680488171
10.95546345	8.364231196
10.86979088	8.347612767
10.73380264	8.719776648
10.52702432	8.833234845
10.04867909	8.537249988
9.814287453	8.327697431
9.443560808	8.668828349
9.258446811	8.876891037
8.885416023	8.569771187
8.610090216	8.325954438
8.348038292	8.544561673
8.264328139	8.702793643
8.097707278	8.447150838
8.198041266	8.456844591
8.091706945	8.239907815
7.908464256	8.068047578
7.71381973	7.880754142
7.605384899	8.137159918
7.41336037	8.204615626
7.357560504	8.268017657
7.12957239	7.951995629
7.186372502	8.339966937
6.919940802	8.530524926
6.86984104	8.1845856
6.777985215	7.904935941
6.669017362	7.9471106
6.621602796	8.08627205
6.59524594	7.921601778
6.553783041	7.750486838
6.386519019	7.750864616
6.420231648	7.948246625
6.333356934	7.884512282
6.565670174	7.519355533
6.596324567	7.828982902
6.729164615	8.099921873
6.826952192	7.667138109
6.98375952	7.340321948
7.075523237	7.572103907
7.284903391	7.744303745
7.393755316	7.703627227
7.603799567	7.557903978
7.738380019	7.823373316
7.923950989	7.960450397
8.050782638	8.046080137
8.333812376	7.765051964
8.522650393	7.865899153
8.772930716	7.986970138
8.801838536	8.021121009
8.97463172	7.894083216
8.977198054	8.077037726
8.967918193	8.273560035
8.964648627	8.264261808
8.953881228	8.119745711
8.982173327	8.251146231
8.835077259	8.602368062
